Order,Ticker,Amount USD,Ends at USD,Weight after,Why
Buy add,LLY,42.00,78.52,15.7%,Category leader
Buy new,NVO,35.00,35.00,7.0%,Contrarian second source
Buy new,GEV,25.00,25.00,5.0%,Turbines and grid gear. Chart-check before buying
Buy new,CEG,25.00,25.00,5.0%,Nuclear fleet. Chart-check before buying
Buy new,SGOV,25.00,25.00,5.0%,Refill to 5% from trims if below 3%
Buy new,AMGN,20.00,20.00,4.0%,"MariTide monthly, defensive wrapper"
Buy add,NVDA,15.00,53.85,10.8%,Accelerator leader
Buy add,TSM,15.00,38.47,7.7%,Foundry chokepoint
Buy add,VRT,15.00,25.34,5.1%,Data-center power and cooling
Buy add,AVGO,12.00,25.01,5.0%,Custom silicon and networking
Buy add,MSFT,11.00,27.22,5.4%,Azure; steadiest cash flow
Buy add,GPCR,1.00,9.93,2.0%,Speculative. Never add; sell half above 6%

,Total,241.00,500.63,100%,No sells
